"","Player","height","X3P","X3PA"
"212","Gary Neal",193,3.1,8.2
"213","George Hill",190,2.2,5.9
"214","Gerald Green",201,3.4,9.3
"215","Gerald Henderson",188,0.9,2.8
"216","Gerald Wallace",201,0.9,2.8
"217","Giannis Antetokounmpo",211,0.6,2.3
"218","Glen Davis",206,0,0.3
"219","Glenn Robinson",201,1.5,4.1
"220","Goran Dragic",190,2,5.5
"221","Gordon Hayward",203,2.2,6.1
"222","Gorgui Dieng",211,0.2,0.4
"223","Grant Hill",203,0.3,1
"224","Greg Monroe",211,0,0
"225","Greg Oden",213,0,0
"226","Greg Smith",196,0,0
"227","Greg Stiemsma",211,0,0
"228","Greivis Vasquez",198,2.3,6.6
"229","Gustavo Ayon",208,0,0
"230","Hakim Warrick",206,0.1,0.5
"231","Hamed Haddadi",218,0,0.2
"232","Harrison Barnes",190,1.6,4.3
"233","Hasheem Thabeet",221,0,0
"234","Hassan Whiteside",213,0,0
"235","Hedo Turkoglu",208,2.4,6.3
"236","Henry Sims",208,0.1,0.5
"237","Henry Walker",196,3.2,8.8
"238","Hilton Armstrong",211,0,0.1
"239","Hollis Thompson",203,2.8,7.2
"240","Ian Clark",190,2.6,7.2
"241","Ian Mahinmi",211,0,0
"242","Iman Shumpert",196,2.1,6.1
"243","Isaiah Canaan",183,4.1,11.6
"244","Isaiah Thomas",185,3.3,9
"245","Isaiah Whitehead",193,1.3,4.3
"246","Ish Smith",183,0.8,2.8
"247","Ivan Johnson",203,0.1,0.5
"248","J.J. Barea",203,2.4,6.9
"249","J.J. Hickson",218,0,0.1
"250","J.J. Redick",188,3.8,9.2
"251","J.R. Smith",188,3.9,10.3
"252","Jabari Parker",203,0.8,2.4
"253","Jae Crowder",198,2.5,7.3
"254","Jahlil Okafor",211,0,0.1
"255","JaKarr Sampson",211,1,4.1
"256","Jakob Poeltl",213,0,0
"257","Jamaal Tinsley",190,1.4,4.8
"258","Jamal Crawford",196,2.9,8.4
"259","Jamal Murray",193,3.2,9.5
"260","Jameer Nelson",183,2.4,6.6
"261","James Anderson",198,2.2,7
"262","James Ennis",201,2,5.2
"263","James Harden",196,3.3,9.2
"264","James Johnson",206,1,3.4
"265","James Jones",190,3.7,9.1
"266","James White",206,1.6,4.6
"267","James Young",198,2.3,8.4
"268","JaMychal Green",206,1,2.7
"269","Jan Vesely",211,0,0
"270","Jannero Pargo",185,2.8,7.9
"271","Jared Cunningham",193,1.6,5.2
"272","Jared Dudley",201,2.2,5.6
"273","Jared Jeffries",211,0.3,1.1
"274","Jared Sullinger",206,1.1,4
"275","Jarell Martin",208,0.5,1.5
"276","Jarrett Jack",190,1.4,4
"277","Jason Collins",193,0,0.1
"278","Jason Kidd",193,2.1,6
"279","Jason Maxiell",201,0,0
"280","Jason Richardson",198,2.8,7.7
"281","Jason Smith",211,0.4,1.1
"282","Jason Terry",188,2.8,7.5
"283","Jason Thompson",185,0,0.1
"284","JaVale McGee",213,0,0.1
"285","Jaylen Brown",193,1.7,5
"286","Jeff Adrien",201,0,0
"287","Jeff Ayres",188,0,0.1
"288","Jeff Green",196,1.7,5
"289","Jeff Teague",188,1.6,4.6
"290","Jeff Withey",213,0,0.1
"291","Jeffery Taylor",193,1.7,5.2
"292","Jerami Grant",203,1.3,4.1
"293","Jeremy Evans",206,0.1,0.5
"294","Jeremy Lamb",196,2.5,7.7
"295","Jeremy Lin",190,1.8,5.2
"296","Jeremy Pargo",188,1.7,5.4
"297","Jeremy Tyler",208,0,0.1
"298","Jerian Grant",203,1.6,5.2
"299","Jermaine O'Neal",211,0,0.2
"300","Jerome Jordan",213,0,0
"301","Jerry Stackhouse",198,1.7,5.6
"302","Jerryd Bayless",190,2,5.5
"303","Jimmer Fredette",188,3.1,8.2
"304","Jimmy Butler",201,1.4,4
"305","Joakim Noah",211,0,0
"306","Jodie Meeks",193,3.3,8.7
"307","Joe Harris",198,3.5,9.1
"308","Joe Ingles",203,3,7.5
"309","Joe Johnson",201,2.4,6.3
"310","Joe Young",188,1.4,6.6
"311","Joel Anthony",206,0,0
"312","Joel Freeland",208,0,0.1
"313","Joel Przybilla",216,0,0
"314","Joey Dorsey",203,0,0
"315","Joffrey Lauvergne",211,1.1,3.6
"316","Johan Petro",213,0,0.1
"317","John Henson",211,0,0.1
"318","John Jenkins",193,2.6,7.2
"319","John Salmons",201,1.6,4.3
"320","John Wall",193,1.2,3.7
"321","Johnny O'Bryant",206,0.2,0.3
"322","Jon Leuer",208,1.2,3.4
"323","Jonas Jerebko",208,1.5,4.4
"324","Jonas Valanciunas",213,0,0
"325","Jonathon Simmons",185,1.1,3.4
"326","Jordan Clarkson",196,2.1,6.2
"327","Jordan Crawford",196,2.4,7.8
"328","Jordan Farmar",188,3,8.1
"329","Jordan Hamilton",178,3.3,9.1
"330","Jordan Hill",208,0,0.1
"331","Jordan McRae",198,2.4,6.3
"332","Jordan Mickey",203,0,0.2
"333","Jorge Gutierrez",190,0.3,1.8
"334","Jose Calderon",190,2,5
"335","Josh Childress",203,0.5,1.5
"336","Josh Harrellson",208,1.9,5.5
"337","Josh Howard",201,1.2,3.5
"338","Josh McRoberts",208,1.2,3.6
"339","Josh Powell",206,0.1,0.3
"340","Josh Richardson",198,2.4,6.4
"341","Josh Smith",213,0.8,2.9
"342","Jrue Holiday",193,1.8,4.9
"343","Juan Hernangomez",206,2.7,6.6
"344","Julius Randle",206,0.3,1.1
"345","Julyan Stone",198,0.6,3
"346","Justin Anderson",198,2.2,7.5
"347","Justin Hamilton",213,1.7,5.5
"348","Justin Holiday",198,2.7,7.8
"349","Justise Winslow",201,0.7,2.7
"350","Jusuf Nurkic",213,0,0.1
"351","Juwan Howard",206,0,0.1
"352","K.J. McDaniels",198,1.7,5.7
"353","Karl-Anthony Towns",213,1.2,3.2
"354","Kawhi Leonard",201,2.2,5.6
"355","Kay Felder",175,0.9,2.8
"356","Keith Bogans",196,2.6,7.3
"357","Kelly Olynyk",213,2.2,6
"358","Kelly Oubre",201,1.7,5.8
"359","Kemba Walker",203,2.7,7.7
"360","Kendall Marshall",193,2.1,5.6
"361","Kendrick Perkins",208,0,0
"362","Kenneth Faried",203,0,0.1
"363","Kent Bazemore",196,2.3,6.6
"364","Kentavious Caldwell-Pope",196,2.6,7.7
"365","Kenyon Martin",206,0.1,0.6
"366","Kevin Durant",206,2.4,6.4
"367","Kevin Garnett",211,0.2,0.7
"368","Kevin Love",208,2.4,6.6
"369","Kevin Martin",206,2.7,7
"370","Kevin Seraphin",206,0,0.1
"371","Kevon Looney",206,0.3,1.1
"372","Keyon Dooling",190,1.7,4.8
"373","Khris Middleton",203,2.4,6.1
"374","Kim English",198,1.8,6.5
"375","Kirk Hinrich",193,2.3,6
"376","Klay Thompson",201,4.3,10.3
"377","Kobe Bryant",198,1.9,5.9
"378","Kosta Koufos",213,0,0
"379","Kostas Papanikolaou",203,1.9,6.3
"380","Kris Dunn",193,0.8,2.8
"381","Kris Humphries",206,0.2,0.7
"382","Kristaps Porzingis",221,2.3,6.7
"383","Kurt Thomas",206,0,0.1
"384","Kwame Brown",211,0,0
"385","Kyle Anderson",206,0.6,1.7
"386","Kyle Korver",201,3.9,9
"387","Kyle Lowry",183,2.7,7.3
"388","Kyle O'Quinn",208,0.2,0.9
"389","Kyle Singler",203,2,5.4
"390","Kyrie Irving",190,2.9,7.5
"391","Lamar Odom",208,1.1,3.5
"392","LaMarcus Aldridge",211,0.2,0.6
"393","Lance Stephenson",196,1.2,3.9
"394","Lance Thomas",203,0.9,2.2
"395","Landry Fields",201,1,3.1
"396","Langston Galloway",188,2.7,7.3
"397","Larry Sanders",211,0,0.1
"398","Lavoy Allen",206,0,0.1
"399","Lazar Hayward",198,1.8,6.6
"400","Leandro Barbosa",190,2.7,7
"401","LeBron James",203,1.9,5.5
"402","Lester Hudson",190,2.5,8.9
"403","Linas Kleiza",203,2.4,7.1
"404","Lorenzo Brown",196,0.6,4
"405","Lou Amundson",206,0,0
"406","Lou Williams",206,2.7,7.7
"407","Lucas Nogueira",213,0.2,0.6
"408","Luigi Datome",203,2.8,8.9
"409","Luis Scola",206,0.3,0.7
"410","Luke Babbitt",206,3.7,9.2
"411","Luke Ridnour",188,1.4,4
"412","Luke Walton",203,1,3
"413","Luol Deng",206,1.1,3.3
"414","Malcolm Brogdon",196,2,4.9
"415","Malcolm Delaney",190,1,4.3
"416","Manny Harris",196,1.7,4.8
"417","Manu Ginobili",198,2.9,8
"418","Marc Gasol",216,0.3,0.8
"419","Marcelo Huertas",190,0.9,3.6
"420","Marcin Gortat",211,0,0.1
"421","Marco Belinelli",196,2.9,7.8
"422","Marcus Camby",211,0,0.2
"423","Marcus Morris",188,2.4,6.8
"424","Marcus Smart",193,2.1,7.1
"425","Marcus Thornton",193,3.3,9.3
"426","Mario Chalmers",188,2.3,6.6
"427","Mario Hezonja",203,2.3,7.1
"428","Markel Brown",190,1.6,5.4
